InternalID	QBIC_Barcode	Sample
2505-cv-758	Q2181466IQ	Q2181466IQ_eDNA_CDIV_DJ_BC_01
2505-cv-759	Q2181469IG	Q2181469IG_eDNA_CDIV_DJ_BC_02
2505-cv-760	Q2181472I1	Q2181472I1_eDNA_CDIV_DJ_BC_03
2505-cv-761	Q2181475IP	Q2181475IP_eDNA_CDIV_DJ_BC_04
2505-cv-762	Q2181478IF	Q2181478IF_eDNA_CDIV_DJ_BC_05
2505-cv-763	Q2181481I0	Q2181481I0_eDNA_CDIV_DJ_BC_06
2505-cv-764	Q2181484IO	Q2181484IO_eDNA_CDIV_DJ_BC_07
2505-cv-765	Q2181487IE	Q2181487IE_eDNA_CDIV_DJ_BC_08
2505-cv-766	Q2181490IX	Q2181490IX_eDNA_CDIV_DJ_BC_09
2505-cv-767	Q2181493IN	Q2181493IN_eDNA_CDIV_DJ_BC_10
2505-cv-768	Q2181496ID	Q2181496ID_eDNA_CDIV_DJ_BC_11
2505-cv-769	Q2181499I3	Q2181499I3_eDNA_CDIV_DJ_BC_12
2505-cv-neg1	0	2505-cv-neg1
2505-cv-770	Q2181502IQ	Q2181502IQ_eDNA_CDIV_DJ_BC_13
2505-cv-771	Q2181505IG	Q2181505IG_eDNA_CDIV_DJ_BC_14
2505-cv-772	Q2181508I6	Q2181508I6_eDNA_CDIV_DJ_BC_15
2505-cv-773	Q2181511IP	Q2181511IP_eDNA_CDIV_DJ_BC_16
2505-cv-774	Q2181514IF	Q2181514IF_eDNA_CDIV_DJ_BC_17
2505-cv-775	Q2181517I5	Q2181517I5_eDNA_CDIV_DJ_BC_18
2505-cv-776	Q2181520IO	Q2181520IO_eDNA_CDIV_DJ_BC_19
2505-cv-777	Q2181523IE	Q2181523IE_eDNA_CDIV_DJ_BC_20
2505-cv-778	Q2181526I4	Q2181526I4_eDNA_CDIV_DJ_BC_21
2505-cv-779	Q2181529IS	Q2181529IS_eDNA_CDIV_DJ_BC_22
2505-cv-780	Q2181532ID	Q2181532ID_eDNA_CDIV_DJ_BC_23
2505-cv-781	Q2181535I3	Q2181535I3_eDNA_CDIV_DJ_BC_24
2505-cv-782	Q2181538IR	Q2181538IR_eDNA_CDIV_DJ_BC_25
2505-cv-783	Q2181541IC	Q2181541IC_eDNA_CDIV_DJ_BC_26
2505-cv-784	Q2181544I2	Q2181544I2_eDNA_CDIV_DJ_BC_27
2505-cv-785	Q2181547IQ	Q2181547IQ_eDNA_CDIV_DJ_BC_28
2505-cv-786	Q2181550IB	Q2181550IB_eDNA_CDIV_DJ_BC_29
2505-cv-787	Q2181553I1	Q2181553I1_eDNA_CDIV_DJ_BC_30
2505-cv-788	Q2181556IP	Q2181556IP_eDNA_CDIV_DJ_BC_31
2505-cv-789	Q2181559IF	Q2181559IF_eDNA_CDIV_DJ_BC_32
2505-cv-790	Q2181562I0	Q2181562I0_eDNA_CDIV_DJ_BC_33
2505-cv-791	Q2181565IO	Q2181565IO_eDNA_CDIV_DJ_BC_34
2505-cv-792	Q2181568IE	Q2181568IE_eDNA_CDIV_DJ_BC_35
2505-cv-793	Q2181571IX	Q2181571IX_eDNA_CDIV_DJ_BC_36
2505-cv-794	Q2181574IN	Q2181574IN_eDNA_CDIV_DJ_BC_37
2505-cv-795	Q2181577ID	Q2181577ID_eDNA_CDIV_DJ_BC_38
2505-cv-796	Q2181580IW	Q2181580IW_eDNA_CDIV_DJ_BC_39
2505-cv-797	Q2181583IM	Q2181583IM_eDNA_CDIV_DJ_BC_40
2505-cv-798	Q2181586IC	Q2181586IC_eDNA_CDIV_DJ_BC_41
2505-cv-799	Q2181589I2	Q2181589I2_eDNA_CDIV_DJ_BC_42
2505-cv-800	Q2181592IL	Q2181592IL_eDNA_CDIV_DJ_BC_43
2505-cv-801	Q2181595IB	Q2181595IB_eDNA_CDIV_DJ_BC_44
2505-cv-802	Q2181598I1	Q2181598I1_eDNA_CDIV_DJ_BC_45
2505-cv-803	Q2181601IO	Q2181601IO_eDNA_CDIV_DJ_BC_46
2505-cv-804	Q2181604IE	Q2181604IE_eDNA_CDIV_DJ_BC_47
2505-cv-805	Q2181607I4	Q2181607I4_eDNA_CDIV_DJ_BC_48
2505-cv-806	Q2181610IN	Q2181610IN_eDNA_CDIV_DJ_BC_49
2505-cv-807	Q2181613ID	Q2181613ID_eDNA_CDIV_DJ_BC_50
2505-cv-808	Q2181616I3	Q2181616I3_eDNA_CDIV_DJ_BC_51
2505-cv-809	Q2181619IR	Q2181619IR_eDNA_CDIV_DJ_BC_52
2505-cv-810	Q2181622IC	Q2181622IC_eDNA_CDIV_DJ_BC_53
2505-cv-811	Q2181625I2	Q2181625I2_eDNA_CDIV_DJ_BC_54
2505-cv-812	Q2181628IQ	Q2181628IQ_eDNA_CDIV_DJ_BC_55
2505-cv-813	Q2181631IB	Q2181631IB_eDNA_CDIV_DJ_BC_56
